Date,T-BILL,CANADA,JAPAN,FRANCE,GERMANY,ITALY,SWITZERLAND,UNITED KINGDOM ,USA ,WORLD
200204,0.0173,-0.008380617,0.058205752,-0.016680399,-0.032574387,0.002881696,0.024020189,0.001644245,-0.065674369,0.030069593
200205,0.01705,0.020249711,0.062294936,-0.003958381,-0.016967109,-0.0315834,0.036094027,-0.018666543,-0.008997442,-0.021687771
200206,0.01659,-0.05842708,-0.052256123,-0.031719397,-0.031372412,-0.005207293,-0.039799522,-0.043972884,-0.077460634,-0.023923279
200207,0.01665,-0.113404901,-0.069488842,-0.135355852,-0.165426441,-0.101269277,-0.120220077,-0.068827929,-0.072943449,0.015164999
200208,0.01645,0.011199586,-0.010728208,-0.015869222,0.004336395,0.013983403,-0.001339685,-0.016415747,0.003185908,0.007127328
200209,0.01527,-0.082232341,-0.047475908,-0.153360545,-0.243513919,-0.137840247,-0.065770217,-0.105254339,-0.114212302,0.03426154
200210,0.014170001,0.029154996,-0.069706314,0.129934144,0.139807806,0.082930821,0.033937053,0.076819717,0.089263327,0.005588426
200211,0.01202,0.057224518,0.039951429,0.042254265,0.056661894,0.093068176,0.025014775,0.027577881,0.058343456,0.024690118
200212,0.01182,-0.009683933,-0.025547068,-0.02766487,-0.076751439,-0.021400654,-0.025867349,-0.022752485,-0.062009225,-0.024854816
200301,0.01148,0.026845254,-0.040599432,-0.033441565,-0.027025983,-0.015148852,-0.034164035,-0.071170153,-0.025445589,0.03143532
200302,0.01175,0.033258278,0.005652626,-0.04900598,-0.069677035,0.031075156,-0.052952378,-0.021447382,-0.017177679,0.021414476
200303,0.0109,-0.015010189,-0.049696415,-0.037173851,-0.037839419,-0.078877532,-0.009204681,-0.008410105,0.007948878,0.04406971
200304,0.01101,0.062725616,-0.007887767,0.153014739,0.22388828,0.134771892,0.105192674,0.100470006,0.082230946,-0.002863213
200305,0.01085,0.083885934,0.048050642,0.060529786,0.056934021,0.104636213,0.06008642,0.058102144,0.051799284,0.019565466
200306,0.00838,0.024479378,0.073467746,0.009834662,0.047276093,-0.032098025,-0.001330547,0.006752687,0.010957178,0.028695125
200307,0.00927,0.002532045,0.040557051,0.017499762,0.059217326,-0.002562872,0.039393264,0.004720063,0.017184936,-0.037229317
200308,0.0096,0.050523108,0.105227017,0.007321348,-0.016716815,-0.032392214,-0.009128699,-0.013736411,0.01713177,-0.001754585
200309,0.00926,0.015949536,0.055816905,0.004274384,-0.007315658,0.038328184,0.043128765,0.033296144,-0.012904621,0.005530596
200310,0.00932,0.066314429,0.045699043,0.068359223,0.119058658,0.04890672,0.022205991,0.066658487,0.055500984,0.023839124
200311,0.00908,0.028449544,-0.030977234,0.051630578,0.053178213,0.079822392,0.053337556,0.025838468,0.008007137,0.010670631
200312,0.00907,0.052711969,0.068927272,0.090298299,0.11389608,0.046687017,0.079274422,0.074400023,0.050240054,0.036086415
200401,0.00897,0.009575244,0.018067735,0.007463107,0.009011764,0.020409572,0.026123396,-0.00344903,0.017007681,0.022657474
200402,0.00927,0.020707861,-0.003137713,0.025443076,-0.008299549,0.010963797,0.003196633,0.042519025,0.01045909,0.019523492
200403,0.00923,-0.006239409,0.129469748,-0.0356046,-0.047383631,-0.034239346,-0.024927212,-0.031409054,-0.017173814,0.011222853
200404,0.00952,-0.084185203,-0.054414307,-0.012490462,-0.003647132,0.013286948,0.00567345,-0.008978576,-0.016479458,-0.006525666
200405,0.01052,0.025064796,-0.035557709,0.017084275,2.81157e-05,-0.008527446,0.007445906,0.018777658,0.011690388,0.015928182
