Date,T_BILL_3_MO,SP_FINANCE,SP_ENEGY,SP_MATERIALS,SP_CONSUM_DIS,SP_CONSUM_STAPLE,SP_HEALTH,SP_UTIL,SP_500,SP_INFO_TECH,SP_TELE_COMM
19940131,0.029700000286102295,-0.029700000286102295,-0.029700000286102295,-0.029700000286102295,-0.029700000286102295,-0.029700000286102295,-0.029700000286102295,-0.029700000286102295,-0.023621092681494326,-0.029748300741944338,-0.029700000286102295
19940228,0.03359999895095825,-0.03359999895095825,-0.03359999895095825,-0.03359999895095825,-0.03359999895095825,-0.03359999895095825,-0.03359999895095825,-0.03359999895095825,-0.03130419079466467,-0.03364838870190783,-0.03359999895095825
19940331,0.034700000286102296,-0.034700000286102296,-0.034700000286102296,-0.034700000286102296,-0.034700000286102296,-0.034700000286102296,-0.034700000286102296,-0.034700000286102296,-0.03420622579001736,-0.034748327345495815,-0.034700000286102296
19940430,0.03859999895095825,-0.03859999895095825,-0.03859999895095825,-0.03859999895095825,-0.03859999895095825,-0.03859999895095825,-0.03859999895095825,-0.03859999895095825,-0.034502650413133974,-0.03864838047549731,-0.03859999895095825
19940531,0.041700000762939456,-0.041700000762939456,-0.041700000762939456,-0.041700000762939456,-0.041700000762939456,-0.041700000762939456,-0.041700000762939456,-0.041700000762939456,-0.04349307194085843,-0.041748364735273505,-0.041700000762939456
19940630,0.041399998664855955,-0.041399998664855955,-0.041399998664855955,-0.041399998664855955,-0.041399998664855955,-0.041399998664855955,-0.041399998664855955,-0.041399998664855955,-0.04890623335084458,-0.04144832376177669,-0.041399998664855955
19940731,0.042699999809265136,-0.042699999809265136,-0.042699999809265136,-0.042699999809265136,-0.042699999809265136,-0.042699999809265136,-0.042699999809265136,-0.042699999809265136,-0.03387224028119689,-0.0427482712441107,-0.042699999809265136
19940831,0.04559999942779541,-0.04559999942779541,-0.04559999942779541,-0.04559999942779541,-0.04559999942779541,-0.04559999942779541,-0.04559999942779541,-0.04559999942779541,-0.046818343538788186,-0.045648303204882425,-0.04559999942779541
19940930,0.04670000076293945,-0.04670000076293945,-0.04670000076293945,-0.04670000076293945,-0.04670000076293945,-0.04670000076293945,-0.04670000076293945,-0.04670000076293945,-0.045748170767777825,-0.046748295410989515,-0.04670000076293945
19941031,0.050199999809265136,-0.050199999809265136,-0.050199999809265136,-0.050199999809265136,-0.050199999809265136,-0.050199999809265136,-0.050199999809265136,-0.050199999809265136,-0.05317619795399019,-0.050248358341246094,-0.050199999809265136
19941130,0.055500001907348634,-0.055500001907348634,-0.055500001907348634,-0.055500001907348634,-0.055500001907348634,-0.055500001907348634,-0.055500001907348634,-0.055500001907348634,-0.05875155834267409,-0.05554830300002669,-0.055500001907348634
19941231,0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.059420010682206745,-0.05534837245941162,-0.055300002098083494
19950131,0.0584000015258789,-0.0584000015258789,-0.0584000015258789,-0.0584000015258789,-0.0584000015258789,-0.0584000015258789,-0.0584000015258789,-0.0584000015258789,-0.054323239829656304,-0.05844841545797294,-0.0584000015258789
19950228,0.0575,-0.0575,-0.0575,-0.0575,-0.0575,-0.0575,-0.0575,-0.0575,-0.05010036562305603,-0.05754831902064289,-0.0575
19950331,0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.059450512059152194,-0.05704838460685281,-0.05699999809265137
19950430,0.05690000057220459,-0.05690000057220459,-0.05690000057220459,-0.05690000057220459,-0.05690000057220459,-0.05690000057220459,-0.05690000057220459,-0.05690000057220459,-0.05481681527958069,-0.05694834329547475,-0.05690000057220459
19950531,0.05630000114440918,-0.05630000114440918,-0.05630000114440918,-0.05630000114440918,-0.05630000114440918,-0.05630000114440918,-0.05630000114440918,-0.05630000114440918,-0.03777792365551923,-0.05634835688296408,-0.05630000114440918
19950630,0.05429999828338623,-0.05429999828338623,-0.05429999828338623,-0.05429999828338623,-0.05429999828338623,-0.05429999828338623,-0.05429999828338623,-0.05429999828338623,-0.05268195556966218,-0.05434838352932986,-0.05429999828338623
19950731,0.05420000076293945,-0.05420000076293945,-0.05420000076293945,-0.05420000076293945,-0.05420000076293945,-0.05420000076293945,-0.05420000076293945,-0.05420000076293945,-0.05574547733819198,-0.05424835825106055,-0.05420000076293945
19950831,0.05269999980926514,-0.05269999980926514,-0.05269999980926514,-0.05269999980926514,-0.05269999980926514,-0.05269999980926514,-0.05269999980926514,-0.05269999980926514,-0.051292065271966295,-0.052748375059581326,-0.05269999980926514
19950930,0.05239999771118164,-0.05239999771118164,-0.05239999771118164,-0.05239999771118164,-0.05239999771118164,-0.05239999771118164,-0.05239999771118164,-0.05239999771118164,-0.054892055650356715,-0.05244839389582127,-0.05239999771118164
19951031,0.05309999942779541,-0.05309999942779541,-0.05309999942779541,-0.05309999942779541,-0.05309999942779541,-0.05309999942779541,-0.05309999942779541,-0.05309999942779541,-0.05610042806045722,-0.05314834173125623,-0.05309999942779541
19951130,0.05320000171661377,-0.05320000171661377,-0.05320000171661377,-0.05320000171661377,-0.05320000171661377,-0.05320000171661377,-0.05320000171661377,-0.05320000171661377,-0.056935798366811945,-0.053248292312596576,-0.05320000171661377
19951231,0.04960000038146973,-0.04960000038146973,-0.04960000038146973,-0.04960000038146973,-0.04960000038146973,-0.04960000038146973,-0.04960000038146973,-0.04960000038146973,-0.04665269761819077,-0.0496483816380871,-0.04960000038146973
